FrageNr.	ThNr.	Sachgebiet	Klasse	BildNr.	ZusFr.	Frage	AKZ1	Antwort1	AKZ2	Antwort2	AKZ3	Antwort3	AKZ4	Antwort4
346	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren nur in Österreich. Welche Vorschriften gelten dann für die wöchentlichen Ruhezeiten?		Es müssen immer zwei reduzierte (verkürzte) wöchentliche Ruhezeiten aufeinander folgen		Es gibt dazu keine besonderen Vorschriften	X	Es dürfen entweder zwei regelmäßige wöchentliche Ruhezeiten oder eine reduzierte und danach eine regelmäßige wöchentliche Ruhezeit aufeinander folgen		Es müssen immer zwei regelmäßige wöchentliche Ruhezeiten aufeinander folgen
346a	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Ihr LKW ist mit einem Kontrollgerät Smart Tacho 2 (GEn2 V2) ausgestattet. Wie ist dann bei einem Be- oder Entladevorgang vorzugehen?	X	Ich muss diesen Vorgang im Kontrollgerät durch Auswahl des entsprechenden Symbols ("laden" oder "entladen" oder "laden/entladen") erfassen		Ich muss diesen Vorgang in einem eigenen Formblatt aufzeichnen		Ich muss diesen Vorgang nur dann in einem eigenen Formblatt aufzeichnen, wenn er länger als 15 Minuten dauert		Ich muss diesen Vorgang im Kontrollgerät durch Auswahl des entsprechenden Symbols "Andere Arbeiten" erfassen
347	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren im grenzüberschreitenden Verkehr.  Welche Vorschriften gelten dann für die wöchentliche Ruhezeit?	X	In vier aufeinanderfolgenden Wochen dürfen zwei redu-zierte (verkürzte) wöchentliche Ruhezeiten aufeinander folgen, sofern diese nicht im Staat, in dem der Standort des Unternehmens oder der Wohnsitz des Lenkers liegt, beginnen. Die beiden anderen Ruhezeiten müssen regel-mäßige Ruhezeiten sein		Es gibt dazu keine besonderen Vorschriften		In vier aufeinanderfolgenden Wochen darf nur eine reduzierte (verkürzte) wöchentliche Ruhezeit gehalten werden. Die drei anderen Ruhezeiten müssen regelmäßige Ruhezeiten sein		Es müssen immer vier regelmäßige Ruhezeiten aufeinander folgen
347a	9	2a Sozialrechtliche Rahmenbedingungen BUS	D1.D1E.D.DE			Sie lenken einen Omnibus ununterbrochen 4,5 Stunden lang. Wie lang muss Ihre Lenkpause dann mindestens dauern?	X	45 Minuten		60 Minuten		     Ruhezeit gehalten werden. Die drei anderen Ruhezeiten müssen regelmäßige Ruhezeiten sein		120 Minuten
348	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie fahren im grenzüberschreitenden Verkehr und haben aufeinanderfolgend zwei reduzierte (verkürzte) wöchentliche Ruhezeiten gehalten. Wie muss in diesem Fall der Ausgleich dieser Ruhezeiten erfolgen?	X	Der notwendige Zeitausgleich muss gemeinsam mit der nächsten regelmäßigen wöchentlichen Ruhezeit im Staat, in dem der Standort des Unternehmens oder der Wohnsitz des Lenkers liegt, erfolgen		Der notwendige Zeitausgleich muss an die nächste regelmäßige wöchentliche Ruhezeit angehängt werden		Der notwendige Zeitausgleich muss bei der übernächsten regelmäßigen wöchentlichen Ruhezeit erfolge		Der notwendige Zeitausgleich muss an die nächste tägliche Ruhezeit angehängt werden
348a	9	2a Sozialrechtliche Rahmenbedingungen - BUS	D1.D1E.D.DE			Sie lenken einen Omnibus im Gelegenheitsverkehr 4,5 Stunden lang. Kann die notwendige Lenkpause von 45 Minuten auch geteilt werden?		Ja. Teil 1 muss mindestens 15 Minuten, Teil 2 mindestens 30 Minuten lang dauern		Ja. Jede beliebige Aufteilung ist zulässig, solang nach 4,5 Stunden Lenkzeit 45 Minuten Lenkpause gehalten werden		Nein	X	Ja. Die Lenkpause kann in zwei Teile von je mindestens 15 Minuten geteilt werden, wenn die Lenkpause in Summe 45 Minuten beträgt
349	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wann liegt im Bezug auf die wöchentliche Ruhezeit grenzüberschreitender Verkehr vor?		Der Fahrer beginnt nur eine von zwei aufeinander folgenden reduzierten wöchentlichen Ruhezeiten außerhalb des Staates, in dem der Standort des Unternehmens oder sein Wohnsitzes liegt	X	Der Fahrer beginnt zwei aufeinander folgende reduzierte wöchentliche Ruhezeiten außerhalb des Staates, in dem der Standort des Unternehmens oder sein Wohnsitzes liegt		Der Fahrer beginnt drei aufeinander folgende reduzierte wöchentliche Ruhezeiten außerhalb des Staates, in dem der Standort des Unternehmens oder sein Wohnsitzes liegt		Der Fahrer beginnt keine aufeinander folgende reduzierte wöchentliche Ruhezeiten außerhalb des Staates, in dem der Standort des Unternehmens oder sein Wohnsitzes liegt
350	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie haben zwei aufeinander folgende reduzierte (verkürzte) wöchentliche Ruhezeiten im Ausland verbracht. Was gilt dann für den notwendigen Zeitausgleich?	X	Der Fahrer muss vor dem Beginn des Zeitausgleichs und der anschließenden regelmäßigen wöchentlichen Ruhezeit zum Standort des Unternehmens oder an seinen Wohnort zurückkehren		Der Fahrer muss erst nach dem Beginn des Zeitausgleichs und der anschließenden regelmäßigen wöchentlichen Ruhezeit zum Standort des Unternehmens oder an seinen Wohnort zurückkehren		Der Fahrer muss erst spätestens nach vier Wochen zum Standort des Unternehmens oder an seinen Wohnort zurückkehren		Der Fahrer muss erst spätestens nach acht Wochen zum Standort des Unternehmens oder an seinen Wohnort zurückkehren
351	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie sind im Zweifahrerbetrieb unterwegs. Was gilt für die 45-minütige Lenkpause?	X	Der Beifahrer darf die Lenkpause auch im fahrenden Fahrzeug verbringen, wenn er den Fahrer in dieser Zeit nicht unterstützt		Während einer Lenkpause muss das Fahrzeug auf jeden Fall stehen		Der Fahrer darf die Lenkpause auch im fahrenden Fahrzeug verbringen, wenn er in dieser Zeit vom Beifahrer unterstützt wird		Für den Beifahrer gilt jeder Zeitraum als Lenkpause, in der er das Fahrzeug nicht selbst lenkt
352	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie lang muss die regelmäßige tägliche Ruhezeit mindestens dauern?		8 Stunden innerhalb von 30 Stunden bei Zweifahrerbesetzung 		8 Stunden innerhalb von 24 Stunden bei Einfahrerbesetzung 	X	11 Stunden innerhalb von 24 Stunden bei Einfahrerbesetzung 		12 Stunden innerhalb von 48 Stunden bei Zweifahrerbesetzung 
353	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie lang muss die reduzierte tägliche Ruhezeit mindestens dauern?		8 Stunden	X	9 Stunden		10 Stunden		11 Stunden
354	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie oft pro Woche darf die tägliche Ruhezeit auf 9 Stunden verkürzt werden?		Ein mal		Zwei mal	X	Drei mal		Vier Mal
355	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie darf die tägliche Ruhezeit grundsätzlich geteilt werden?	X	Auf 3 und 9 Stunden		Auf 8 und 4 Stunden		Auf 7 und 5 Stunden		Auf 6 und 6 stunden
371	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			In welchem Feld eines CMR-Frachtbriefes finden Sie den Ort, an dem Sie das Frachtgut abholen müssen?		Im "Absender"		Im Feld "Empfänger"	X	Im Feld "Auslieferungsort des Gutes"		Im Feld "Ort und Tag der Übernahme des Gutes"
372	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			In welchem Feld eines CMR-Frachtbriefes finden Sie das Datum, an dem Sie das Frachtgut abholen müssen?		Im Feld "Absender"		Im Feld "Empfänger"	X	Im Feld "Auslieferungsort des Gutes"		Im Feld "Ort und Tag der Übernahme des Gutes"
373	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			In welchem Feld eines CMR-Frachtbriefes finden Sie den Ort, an dem Sie das Frachtgut abliefern müssen?		Im Feld "Absender"		Im Feld "Empfänger"		Im Feld "Auslieferungsort des Gutes"	X	Im Feld "Ort und Tag der Übernahme des Gutes"
374	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			In welchem Feld eines CMR-Frachtbriefes finden Sie Anweisungen zum Transport des Frachtgutes, die Sie beachten müssen?		Im Feld "Absender"		Im Feld "Empfänger"	X	Im Feld "Anweisungen des Absenders"		Im Feld "Vorbehalte und Anmerkungen der Frachtführer"
375	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			In welchem Feld eines CMR-Frachtbriefes finden Sie Angaben darüber, welche Dokumente den Transport des Frachtgutes begleiten?		Im Feld "Absender"		Im Feld "Empfänger"		Im Feld "Anweisungen des Absenders"	X	Im Feld "Beigefügte Dokumente"
376	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			In welchem Feld eines CMR-Frachtbriefes finden Sie Angaben darüber, wie schwer das Frachtgut ist?		Im Feld "Kennzeichen und Nummern"		Im Feld "Art der Verpackung"	X	Im Feld "Bruttogewicht in kg"		Im Feld "Anzahl der Packstücke"
377	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			In welchem Feld eines CMR-Frachtbriefes finden Sie Angaben zu Datum und Uhrzeit, an dem Sie das Frachtgut abliefern müssen?		Im Feld "Absender"		Im Feld "Empfänger"	X	Im Feld "Besondere Vereinbarungen"		Im Feld "Ort und Tag der Übernahme des Gutes"
378	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Warum ist es wichtig, dass der Absender des Frachtgutes im Feld "22 - Unterschrift und Stempel des Absenders" den CMR-Frachtbrief unterschreibt und abstempelt?	X	Weil er damit für die Richtigkeit der Angaben im CMR-Frachtbrief haftet		Weil er damit das volle Transportrisiko übernimmt		Weil er damit die Versicherungsprämien übernimmt		Weil er damit Mautgebühren übernimmt
379	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Sie lenken einen LKW. Welche Gutachten und Prüfberichte über technische Fahrzeugüberprüfungen müssen Sie mitführen?	X	Das letzte Gutachten der wiederkehrenden Begutachtung ("Pickerlüberprüfung") und wenn gegebenenfalls vorhanden, den letzten Prüfbericht über eine technische Unterwegskontrolle		Das letzte Gutachten über die Funktion der GO-Box		Das letzte Gutachten über die Funktion der Klimaanlage im Fahrerhaus		Das letzte Gutachten über die Dichtheit der Plane bzw. des Kofferaufbaus
380	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Ihr LKW ist mit einer GO-Box zur Entrichtung der Maut ausgerüstet. Müssen Sie die zum LKW gehörende Fahrzeugdeklaration der ASFINAG mitführen?		Nein		Ja, auf jeden Fall	X	Ja, wenn der LKW mit einem Motor der Abgasklasse EURO 4 oder höher angetrieben wird		Ja, wenn der LKW mit einem Motor der Abgasklasse EURO 1, 2 oder 3 angetrieben wird
381	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Sie wollen in Ihrem LKW eine GO-Box zur Mauteinhebung anbringen. Was müssen Sie dabei beachten?		Sie muss am Dach des Fahrerhauses angebracht werden	X	Sie muss an der Innenseite der Windschutzscheibe zwischen Lenkradmitte und Fahrzeugmitte, mindestens 10 cm oberhalb des Scheibenwischers in Ruhestellung und mindestens 30 cm unterhalb der Windschutzscheibenoberkante angebracht sein. Genaue Informationen zur ordnungsgemäßen Anbringung der GO-Box finde ich in der ASFINAG-Mautordnung		Sie muss an der Innenseite der Windschutzscheibe zwischen Fahrzeugmitte und Beifahrertüre angebracht werden		Sie muss an der Innenseite der Beifahrertüre angebracht werden
382	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Die GO-Box Ihres Fahrzeuges hat beim Durchfahren eines Mautportals vier Signaltöne abgegeben. Wie sollten Sie sich verhalten?	X	Ich suche innerhalb von 5 Stunden oder innerhalb einer Fahrtstrecke von 100 km eine Vertriebsstelle auf, um die Maut nachzuzahlen		Ich stelle die Abgasklasse des LKW´s an der GO-Box neu ein		Ich habe 96 Stunden Zeit, um eine Vertriebsstelle zur Nachzahlung der Maut aufzusuchen		Ich habe vier Wochen Zeit, um eine Vertriebsstelle zur Nachzahlung der Maut aufzusuchen
383	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Was bedeutet es, wenn beim Durchfahren eines Mautportales kein Signalton der GO-Box erfolgt?		Das aufgebuchte Guthaben ist in Kürze verbraucht	X	Die Maut wurde nicht ordnungsgemäß entrichtet		Die Abgasklasse des LKW's ist richtig eingestellt		Die Abgasklasse des LKW's ist falsch eingestellt
384	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Die GO-Box Ihres Fahrzeuges hat beim Durchfahren eines Mautportals keinen Signalton abgegeben. Wie sollten Sie sich verhalten?	X	Ich suche innerhalb von 5 Stunden oder innerhalb einer Fahrtstrecke von 100 km eine Vertriebsstelle auf, um die Maut nachzuzahlen		Ich stelle die Abgasklasse des LKW's an der GO-Box neu ein		Ich habe 96 Stunden Zeit, um eine Vertriebsstelle zur Nachzahlung der Maut aufzusuchen		Ich habe vier Wochen Zeit, um eine Vertriebsstelle zur Nachzahlung der Maut aufzusuchen
385	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Sie lenken einen LKW der Fahrzeugklasse N2 mit 2 Achsen und ziehen einen einachsigen Anhänger der Fahrzeugklasse O1. Was müssen Sie bei der Einstellung der GO-Box beachten?		Dass die Achsenzahl auf "2" eingestellt ist		Dass die Achsenzahl auf "4" eingestellt ist	X	Dass die Achsenzahl auf "3" eingestellt ist		Dass die Achsenzahl auf "S" eingestellt ist
386	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Warum ist es wichtig, dass der Frachtführer des Frachtgutes im Feld "Unterschrift und Stempel des Frachtführers" den CMR-Frachtbrief unterschreibt und abstempelt?		Weil er damit für die Richtigkeit der Angaben im CMR-Frachtbrief haftet		Weil er damit das volle Transportrisiko übernimmt	X	Weil er damit dem Versender die Übernahme des Frachtgutes bestätigt		Weil er damit für die Richtigkeit der Gewichtsangaben haftet
387	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Warum ist es wichtig, dass der Empfänger des Frachtgutes im Feld "Gut empfangen" den CMR-Frachtbrief unterschreibt und abstempelt?		Weil er damit für die Richtigkeit der Angaben im CMR-Frachtbrief haftet	X	Weil er damit dem Frachtführer und dem Absender die ordnungsgemäße Übernahme des Frachtgutes bestätigt		Weil er damit Mautgebühren übernimmt		Weil er damit Strafgebühren wegen Verkehrsverstößen beim Transport übernimmt
388	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Wie stellen Sie fest, ob die GO-Box im Fahrzeug funktionstüchtig ist?	X	Durch eine Statusabfrage bei der GO-Box vor und nach der Fahrt		Durch das Starten des Fahrzeugmotors		Durch einen Anruf bei der Hotline der ASFINAG vor der Fahrt		Durch Auslesen der GO-Box mit der ASFINAG-Fahrer-App
389	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Wo soll die GO-Box auf der Windschutzscheibe des Fahrzeuges montiert werden, um eine korrekte Mautentrichtung zu gewährleisten?	X	An der Innenseite der Windschutzscheibe zwischen Lenkradmitte und Fahrzeugmitte, mindestens 10 cm oberhalb des Scheibenwischers in Ruhestellung und mindestens 30 cm unterhalb der Windschutzscheibenoberkante. Genaue Informationen zur ordnungsgemäßen Anbringung der GO-Box sind in der ASFINAG-Mautordnung zu finden		Immer genau in der Fahrzeugmitte		Nahe der Oberkante der Windschutzscheibe		So, dass sie von den in Ruhelage befindlichen Scheibenwischern völlig verdeckt wird
390	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Was ist gesetzlich zur ordnungsgemäßen Entrichtung der LKW-Maut vorgesehen?	X	Es muss im Fahrzeug eine GO-Box oder ein gleichwertiges Gerät installiert sein		Es muss eine Mautvignette mitgeführt werden		Es muss bei einem österreichischen Bankinstitut ein Dauerauftrag zur Abbuchung der Maut eingerichtet sein		Es muss die ASFINAG-Fahrer-App vorgewiesen werden können
391	10	2b Vorschriften im Güterverkehr - LKW	C1.C1E.C.CE			Wann sollten Sie die Einstellung der Achsenzahl bei der GO-Box durchführen?	X	Unmittelbar vor Fahrtantritt		Am Ende einer Arbeitswoche		Am Beginn einer wöchentlichen Ruhezeit		Am Beginn einer täglichen Ruhezeit
411	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Sie lenken einen Omnibus und führen im Gelegenheitsverkehr eine Fahrt mit älteren Fahrgästen durch. Müssen Sie dafür sorgen, dass die Fahrgäste Sicherheitsgurte benutzen?		Ja, auf jeden Fall	X	Nein, das liegt in der eigenen Verantwortung der einzelnen Fahrgäste		Ja, aber nur, wenn das Fahrziel im Freiland liegt		Nein, weil in Omnibussen keine Gurtpflicht beachtet werden muss
412	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Die GO-Box Ihres Fahrzeuges hat beim Durchfahren eines Mautportals vier Signaltöne abgegeben. Wie sollten Sie sich verhalten?	X	Ich suche innerhalb von 5 Stunden bzw. einer Fahrtstrecke von 100 km eine Vertriebsstelle auf, um die Maut nachzuzahlen		Ich stelle die Abgasklasse des Omnibusses an der GO-Box neu ein		Ich habe 96 Stunden Zeit, um eine Vertriebsstelle zur Nachzahlung der Maut aufzusuchen		Ich habe vier Wochen Zeit, um eine Vertriebsstelle zur Nachzahlung der Maut aufzusuchen
413	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Was bedeutet es, wenn beim Durchfahren eines Mautportales kein Signalton der GO-Box erfolgt?		Das aufgebuchte Guthaben ist in Kürze verbraucht	X	Die Maut wurde nicht ordnungsgemäß entrichtet		Die Abgasklasse des Omnibusses ist richtig eingestellt		Die Abgasklasse des Omnibusses ist falsch eingestellt
414	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Die GO-Box Ihres Fahrzeuges hat beim Durchfahren eines Mautportals keinen Signalton abgegeben. Wie sollten Sie sich verhalten?	X	Ich suche innerhalb von 5 Stunden bzw. einer Fahrtstrecke von 100 km eine Vertriebsstelle auf, um die Maut nachzuzahlen		Ich stelle die Abgasklasse des Omnibusses an der GO-Box neu ein		Ich habe 96 Stunden Zeit, eine Vertriebsstelle zur Nachzahlung der Maut aufzusuchen		Ich habe vier Wochen Zeit, um eine Vertriebsstelle zur Nachzahlung der Maut aufzusuchen
415	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Sie lenken einen Omnibus der Fahrzeugklasse M2 mit 2 Achsen und ziehen einen einachsigen Anhänger der Fahrzeugklasse O1. Müssen Sie die Einstellung der Achsenzahl bei der GO-Box gegenüber einer Fahrt mit dem Bus ohne Anhänger verändern?	X	Nein		Ja, ich muss die Achsenzahl auf "3" einstellen		Ja, ich muss die Achsenzahl auf "4" einstellen		Ja, ich muss die Achsenzahl auf "S" einstellen
417	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Am Beginn des Fahrdienstes überprüfen Sie Ihren Omnibus. Dabei stellen Sie fest, dass die Frontscheibe auf Höhe des Reiseleiterplatzes einen etwa 50 cm langen Riss aufweist. Wie sollten Sie sich verhalten?	X	Ich melde diese Beschädigung unverzüglich dem Dienstgeber und darf mit diesem Omnibus keine Fahrgäste befördern		Ich darf mit diesem Omnibus Fahrgäste befördern, solang der Riss nicht bis in meinem Sichtbereich geht		Ich darf mit diesem Omnibus Fahrgäste befördern, solang dabei kein Reiseleiter mitfährt		Ich darf diesen Omnibus nicht in Betrieb nehmen
418	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Sie lenken im Gelegenheitsverkehr einen Omnibus mit 48 Sitzplätzen und holen eine Reisegruppe ab. Dabei stellt sich heraus, dass die Reisegruppe 54 Personen umfasst. Wie sollten Sie sich verhalten?	X	Ich darf nicht mehr als 48 Personen im Omnibus befördern. Daher verständige ich unverzüglich die Betriebsleitung, um das Problem zu lösen		Ich fahre mit den 54 Personen und lasse 6 Freiwillige im Mittelgang stehen		Ich fahre mit den 54 Personen und fordere die Fahrgäste auf, auf den Sitzplätzen zusammenzurücken		Ich fahre mit den 54 Personen und lasse 6 Freiwillige im Gepäckraum mitfahren
419	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Sie lenken einen Omnibus und befördern Kinder oder Jugendliche im Alter zwischen 3 und 14 Jahren. Sind Sie dafür verantwortlich, dass die Kinder oder Jugendlichen die Sicherheitsgurte benutzen?	X	Nein, wenn im Gelegenheitsverkehr gefahren wird und eine erwachsene Begleitperson im Omnibus mitfährt oder wenn im Linienverkehr gefahren wird		Ja, auf jeden Fall		Ja, aber nur, wenn ich einen Schülertransport durchführe		Ja, aber nur, wenn ich einen Kindergartentransport durchführe
420	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Wie müssen Sie Ihren Omnibus kennzeichnen, wenn Sie einen Schülertransport durchführen?	X	Durch eine gelbrote quadratische Tafel mit dem Kindersymbol an der Vorder- und Rückseite des Busses		Durch die Aufschrift "Schülertransport" im Zielschild		Durch gelbrote quadratische Tafeln mit dem Kindersymbol an den Seitenwänden des Busses		Durch gelbrote quadratische Tafeln mit dem Kindersymbol im Fahrgastraum an den Sitzen des Busses
421	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Was haben Sie zu beachten, wenn Sie an der Haltestelle Kinder aus Ihrem Schulbus aussteigen lassen?	X	Ich muss die Alarmblinkanlage und zusätzliche Warnleuchten, welche in der Heckscheibe oder am Dach des Busses montiert sind, einschalten		Ich muss Warnzeichen mit der Hupe abgeben		Ich muss den rechten Blinker einschalten		Ich muss den linken Blinker einschalten
422	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Sie sollen mit einem Omnibus einen Schülertransport durchführen. Welche Lenkberechtigungen bzw. Eintragungen im Führerschein und behördliche Ausweise berechtigen Sie dazu?		Eine Lenkberechtigung der Klasse D oder D1 alleine reicht dazu immer aus. Es sind keine weiteren Eintragungen im Führerschein notwendig		Eine Lenkberechtigung der Klasse D mit den im Führerschein eingetragenen Code "95" und "121"		Eine Lenkberechtigung der Klasse D mit den im Führerschein eingetragenen Code "95" und "111"	X	Eine Lenkberechtigung der Klasse D oder D1 mit dem im Führerschein eingetragenen Code "95"
423	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Wie stellen Sie fest, ob die GO-Box im Fahrzeug funktionstüchtig ist?	X	Durch eine Statusabfrage bei der GO-Box vor und nach der Fahrt		Durch das Starten des Fahrzeugmotors		Durch einen Anruf bei der Hotline der ASFINAG vor der Fahrt		Durch Auslesen der GO-Box mit der ASFINAG-Fahrer-App
424	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Wo soll die GO-Box auf der Windschutzscheibe des Fahrzeuges montiert werden, um eine korrekte Mautentrichtung zu gewährleisten?	X	An der Innenseite der Windschutzscheibe zwischen Lenkradmitte und Fahrzeugmitte, mindestens 10 cm oberhalb des Scheibenwischers in Ruhestellung und mindestens 30 cm unterhalb der Windschutzscheibenoberkante. Genaue Informationen zur ordnungsgemäßen Anbringung der GO-Box sind in der ASFINAG-Mautordnung zu finden		Immer genau in der Fahrzeugmitte		Nahe der Oberkante der Windschutzscheibe		So, dass sie von den in Ruhelage befindlichen Scheibenwischern völlig verdeckt wird
425	11	2c Vorschriften im Personenkraftverkehr - BUS	D1.D1E.D.DE			Was ist gesetzlich zur ordnungsgemäßen Entrichtung der Omnibus-Maut vorgesehen?	X	Es muss im Fahrzeug eine GO-Box oder ein gleichwertiges Gerät installiert sein		Es muss eine Mautvignette mitgeführt werden		Es muss bei einem österreichischen Bankinstitut ein Dauerauftrag zur Abbuchung der Maut eingerichtet sein		Es muss die ASFINAG-Fahrer-App vorgewiesen werden können
451	12	3a Risiken des Straßenverkehrs, Arbeitsunfälle	C1.C1E.C.CE / D1.D1E.D.DE			Sie müssen rückwärts aus einem Firmengelände ausfahren und haben keine ausreichende Sicht auf den herannahenden Verkehr. Wie sollten Sie sich verhalten?	X	Ich lasse mich von einer geeigneten Person einweisen		Ich schiebe im Schritttempo zurück. Der von rechts kommende Verkehr muss warten		Ich verzichte auf das Einweisen, wenn beim Rückwärtsfahren die Alarmblinkanlage eingeschaltet ist		Ich verzichte auf das Einweisen, wenn beim Rückwärtsfahren der Rückfahrwarner eingeschaltet ist
452	12	3a Risiken des Straßenverkehrs, Arbeitsunfälle	C1.C1E.C.CE / D1.D1E.D.DE			Während der Fahrt läutet Ihr Handy. Das Telefon ist nicht mit einer Freisprecheinrichtung gekoppelt. Wie verhalten Sie sich?		Ich telefoniere, halte aber das Gespräch so kurz wie möglich		Ich telefoniere, konzentriere mich aber noch mehr als sonst auf den Verkehr	X	Ich lasse das Handy läuten und rufe nach Beendigung der Fahrt zurück		Ich antworte während der Fahrt mit einer Kurznachricht
453	12	3a Risiken des Straßenverkehrs, Arbeitsunfälle	C1.C1E.C.CE / D1.D1E.D.DE			Welches Schuhwerk ist beim Lenken eines Fahrzeugs zu benutzen?	X	Fußumschließendes Schuhwerk (z.B. Sandalen mit Fersenriemen, Stiefel, Halbschuhe)		Pantoffeln		Genagelte Bergschuhe		Skischuhe
454	12	3a Risiken des Straßenverkehrs, Arbeitsunfälle	C1.C1E.C.CE / D1.D1E.D.DE			Sie beschädigen beim Ausparken ein abgestelltes Fahrzeug. Der Lenker des anderen Fahrzeuges ist nicht erreichbar. Müssen Sie diesen Unfall der nächsten Polizeidienststelle melden?		Ja, aber nur, wenn es sich um ein Fahrzeug mit ausländischem Kennzeichen handelt	X	Ja, dieser Unfall ist zu melden		Nein, es genügt, einen Zettel mit meinem Namen am anderen Fahrzeug anzubringen		Nein, es genügt, diesen Unfall nur der Versicherung zu melden
455	12	3a Risiken des Straßenverkehrs, Arbeitsunfälle	C1.C1E.C.CE / D1.D1E.D.DE			Welche sind die häufigsten Unfallursachen mit LKW bzw. OMNIBUSSEN im Straßenverkehr?	X	Nicht angepasste Geschwindigkeit sowie zu geringer Sicherheitsabstand		Zu hohe Aufmerksamkeit von Lenkerinnen und Lenkern		Gute Ausbildung von Lenkerinnen und Lenkern		Guter technischer Zustand der Fahrzeuge
456	12	3a Risiken des Straßenverkehrs, Arbeitsunfälle	C1.C1E.C.CE / D1.D1E.D.DE			Welche sind die häufigsten Unfallursachen mit Beteiligung von Nutzfahrzeugen im Straßenverkehr?	X	Auffahrunfälle, Abkommen von der Fahrbahn, Zusammenstöße mit anderen Fahrzeugen		Zu geringe Fahrgeschwindigkeit		Zu hohe Aufmerksamkeit von Lenkerinnen und Lenkern		Guter technischer Zustand der Fahrzeuge
481	13	3b Kriminalität und Schleusung Illegaler	C1.C1E.C.CE / D1.D1E.D.DE			Werden Fahrer und Unternehmer zur Verantwortung gezogen, wenn bei der Einreise nach Großbritannien in ihrem Fahrzeug illegale Einwanderer entdeckt werden?	X	Ja, es ist in jedem Fall mit Strafverfahren vor den Behörden oder Gerichten zu rechnen		Nein, wenn der Fahrer glaubhaft behauptet, nichts gewusst zu haben		Es wird immer nur der Fahrer zur Verantwortung gezogen		Es wird immer nur das Unternehmen zur Verantwortung gezogen
